,text,affect
84,I HATE rob zombie movies. &amp; the smell of weed. Vommmm.,sadness
85,no more arrested development. i am sad.,sadness
86,omg i keep losing followers this is so sad  i want 90 one day....thats my goal ;D,sadness
87,I feel so deflated. No more doggy.,sadness
88,"I just had to empty my trash on the mac. that was one of THE MOST DIFFICULT things I have ever done in my life. 8,000 pictures are GONE.",sadness
89,im contacting PAWS Philippines so i can find &quot;tiger&quot; a new owner. im so sad. i love my dog soo much,sadness
90,just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to be over,sadness
91,Fuuudge. Movie store is closed,sadness
92,ALO is so sad and quiet and empty tonight,sadness
94,Sad that Christian Lacroix had to file bankruptcy,sadness
95,I dont feel good AT ALL. fuckkk,sadness
96,Have to go to the dreaded DMV tomorrow,sadness
97,english class! working on interactive orals,happiness
98,Taylor Swift and Joe Jonas looked really good together. I'm kinda sad they broke up.,sadness
99,God I just want to sleep.,sadness
100,Found my book. Starting a real paper-bound journal tonight. Have an annoying zit above my lip. Makes me look like I have herpes,sadness
104,feels sick to my stomach and idkk whyy,sadness
106,FB is boring   and i wanna sing RIGHT NOW..! *-*,happiness
109,my stupid tooooth hurts,sadness
111,I'm awake. Anybody else awake? Wish I lived in the US since all the fun happens when I'm asleep!,sadness
113,"Morning everyone sorry for going early last night had bad news, felt totally crap   Today is a new day",sadness
114,"how I wish my parents put me into a Chinese school when I was younger. Then, it'll be so much easier for me to get a job...",sadness
117,"if one people did any wrong, the world blames all the people over there, this is the great world which we are living in!  Shit!",sadness
120,missed iron chef,sadness
122,what a bad day,sadness
124,went to the cd store to search for the cd. But,sadness
125,I miss my mom..  &quot;May angels lead you in&quot;,sadness
127,Can't sleep. Sucks. The one day i have to sleep in and i have to get up and go shopping with mom. Ugh.,sadness
128,Sleppytime. Really missing my godfather right now. Love you Wayne,sadness
129,So have a headache right now and it sucks,sadness
131,"comfort food of the day: pan mee. though, it didnt taste any good..",sadness
132,misses my baby.,sadness
133,I'm poorly and can't sleep,sadness
134,has work tom.,sadness
135,today we say goodbye to the second good friend in a week from dmp  but at least the sun is shinning and I'm definately NOT working this pm,sadness
136,fuckin'm transtelecom,anger
137,Sometimes the things you say hurt the ones you love most unintentionally.  And you can never ever take it back or fix it.,sadness
139,Having Fever  dont feel to work,sadness
141,"Working from home today, my back is killing me  Doctor and then physio after later today.",sadness
143,Missing you all deeply,sadness
146,I don't want her to leave..,sadness
147,"good lord, just seen the agency work for our upcoming Open Day. Money for Jam",happiness
148,Working   But it's Fridaaaayyyyy,anger
151,"I miss my little Batty, she was only 3 months old when she got sick, she was always so fun and full of life &lt;3 Even at the very end...",sadness
152,morning again! I hate mornings. So offensive!,sadness
156,My little foster kittens are getting big...chubba and Winston are going 2 b missed when they get amazing homes.,happiness
159,Gutted that the bathroom still isn't free- early work isn't going to happen  . And I need the loo!,sadness
161,"First my work computer, now my home laptop is fucked.",sadness
164,Getting ready for school - second maths test today  also its my last day of 3rd year!! Next week i will officially be in 4th year,happiness
165,"Woke Up,I Wanna Stay In My bed",sadness
166,Upsidedown tomato plants died!,sadness
168,"Friday yay!! And a bonus, don't have to drive to Wales tonight.  Athough will miss kitten cuddles and going for a ride",happiness
171,#jonaswebcast i just missed it!!!!,sadness
172,So exhausted..can't sleep. I don't like these nights,sadness
173,i'm gonna miss all the live Comet action tomorrow! i have to go take care of my cousins and they don't have access to the interwebz,sadness
175,Just found out I can't drink at this bar! Booo missing e1 at palomino's! No cheers sad face,sadness
176,Packing  I don't like it..,anger
177,finished a whole box of ice cream,sadness
178,"Ok, other then my shoe, the club is cool. Its fun, and its poppin except 4 the ppl tryna dance wit me",happiness
182,I don't wanna go back to work   sleepy time.,sadness
185,I miss my friend,sadness
186,Yea i just saw this really sad commercial,sadness
187,Hmmm. Using TinyTwitter on a small non-touch screen is really not much fun,sadness
188,Hates having to sleep alone,sadness
189,I loved johnny carson now I'm going to hate seeing jay leno go,sadness
190,even though everyone wanted to do a newish song and our teacher agreed :S old grumpy doesn't like us happy  haha,sadness
192,I didn't get a callback for the play I cried...  oh well I guess it's back to being a techie..,sadness
196,FALL ASLEEP ON ME AGAIN  But I know how it feels now LOL. Drag Me To Hell tonight! Quite excited,sadness
197,someone take me to LA  I NEED TO SEE THE LEMON TREE,happiness
198,um... so I don't think my text msgs have a &quot;subject line&quot; ... I fail,sadness
199,tummy ache.,sadness
202,as if i finsh work at eleven.. IS THAT EVEN ALLOWD?  cauz i really dont want to.. lol,sadness
204,that was an interesting show to say the least. recap tomorrow. first i must sleep. work in am.,happiness
205,"I can't sleep, this is so darn frustrating.",sadness
207,RIP kelly  fucccccck,sadness
208,Not feeling too good,sadness
209,Ok. Time to nodd off its gonna be a long day tomorrow. Saying goodbye to my car for good,sadness
210,i miss oklahomaaaaa  listening to citizen cope til i pass out.,sadness
211,its funny. i'm kinda sad on my last day,sadness
212,Jenny fell asleep and didn't come over,sadness
213,Wishes you had teased me with movie night,sadness
217,"So Cal Dachshund Rescue found a home for my foster pup, Max. I'm soooooo sad to see him leave",sadness
218,wow I feel like ish  and I really feel bad because those ignorent aholes wont overturn prop 8,sadness
219,"off to work now, finish about 9pm  booooo.",sadness
220,Wishes you hadn't teased me with movie night,sadness
221,"maybe i should take up drinking again, feel as if i have a ,massive hangover  still not ,yself today",sadness
222,should be sleeping.  lost my voice a couple day ago.,sadness
223,I was too sleepy earlier and i didnt get to see matt,sadness
225,how to have a glowing face? my complexion is always so pale,sadness
226,"Downloadfestival's lineup isn't as good as i thought it was. There are some other awesome bands doing the festivals, but missing DL",sadness
228,oh no my tweetdeck is malfunctioning :O il have web will its fixd,sadness
231,Just got my ass kicked in Tripoly lol  I got such bad cards... i suck,sadness
232,Annnnnnddd another one bites the dust,sadness
233,"on my 42nd written fuck.. i get less ideas every day, and every day",sadness
235,And trash repops.  Getting it tomorrow night I suppose.,sadness
239,Missing Everyone,sadness
240,My sisser is moving tomorrow and of makes me sad  actually I guess technically in a couple of hours since it's already Friday.,sadness
242,is still sick  sigh,sadness
243,i feel really weird,sadness
244,my throat hurts  gonna go read and go to bed. text mee!,sadness
245,fjdskal im really frustrated.,sadness
246,Wondering how come mcdonalds take so long to deliver my food.,sadness
248,Sooo.....I'm kind of sick n tired of the bs that guys dish out  !!!!!!!!,sadness
250,what a beautiful day - shame I've got to spend it in an office,sadness
251,Just finished watching the series return of the Chasers War on Everything - really quite crap compared to how it used to be,sadness
252,Wow just realized haven't checked Twitter since 9am when I saw my to-do list. Good news- got lot done. Bad news-don't know where day went,sadness
254,Tummy hurts,sadness
255,farewelling an employee tonight...,sadness
256,"Morning all. The water heating's packed up, so i can't have a bath. I REALLY want a bath!",sadness
259,Blackout in the city is never good,sadness
264,i miss rich,sadness
265,Headache of the century coming- I can feel it  Fuck.,sadness
266,disappointed to know that I got the Silver Award. I want the GOLD award. I hate being second best.,sadness
267,home from ice cream tweet-up (my very first tweet-up!) No pics because my camera battery died last night and i forgot to charge it,sadness
270,home from school had the shitest day today,sadness
272,Sitting by myself. Everyone took the good seats.,sadness
275,Are u missing ur frnds ? Hear to &quot;Manasellaam &quot; From Kulir100 Degree movie. Its amazing !!!  Nanbargale - Miss u guys !!!,happiness
276,Sorry was that mean,sadness
279,has had the flu pass unto me by andy...went shopping and got fresh chicken for chicken soup...but no d&amp;d this sat ...is a sad panda,sadness
280,not well,sadness
283,so carlie came over and she fell asleep on me,happiness
285,"I'm so unhappy being here. I hate it. It's affecting everything. My relationships with people, my personality, my attitude...",sadness
286,"There's Nothing To Do Right Now And I'm Tired But I Don't Want To Sleep. Cleaned Up Pretty Good, So Proud. At Least I'd Be A Good Janitor",sadness
288,The 3d version of Up sold out   regular version it is!,sadness
290,"To all my friends: Im deeply sorry i'm moving, i will miss u all so very very much!",happiness
292,now aches &amp; chills have joined the party. Why couldn't the cold just go away? It had to get worse?,sadness
293,bed. with stomach ache,sadness
294,lappy charger is completely dead... conserving what's left of the battery until i can afford to buy a new one,sadness
295,finally accepting the fact that all cute guys are taken,sadness
297,Honza takes his flight back to the Czech Republic in the morning  I'm really going to miss him.,sadness
298,ah thats better snow patrol! now to be stuck indoors  still weekend coming up and fresh air excellent hope its sunny!,happiness
299,"up early again  loads to do- but the suns out, hurrah!",happiness
301,Matty is le tired.,sadness
303,Nite Tweeple.  Tomorrow will be day 25 at work.,sadness
304,Ahh man up and getting ready for work  I wanna sleep!!!,sadness
306,Wish I was at sri panwa now,sadness
307,"wants to listen to musiq soulchild, but it is not on the iPod",sadness
308,i miss seeing fireflies.....,sadness
313,2orw!!!!! Nooooooo I want to go back to Newcastle!!!!,sadness
314,"bout to watch notorious cause that's how i'm feelin now. wish i could eat something, but i can't.  surgery tomorrow. no food til saturday",sadness
316,I'm going to miss Miss Suhana,sadness
317,Why are the sinks in hospital toilets so low? Now the crotch of my grey suit is spattered with water! Just in time for Physio,sadness
319,sad that will have to leave my beautiful apartment,sadness
321,Waiting on the bus! I miss my car,sadness
323,It is kind of lonely when nobody will answer their phone.,sadness
324,Rest In Peace  ADaM 12 &amp; GLeNN EPPS.... Gone but never forgotten... what a week ...Loud in da air 4 ya,sadness
325,"is having the worst week, things really do happen in threes",sadness
328,"Bike trail - 1, Miss J - 0, two front teeth - 1 1/2.. Hopefully! Vacations suck!",sadness
329,Sadly I am bprohibiting myself from tweeting tonight. Sorry,sadness
332,I miss the concert Tuesday already. I'd really like a time machine to go see it again... It was so fun...,happiness
333,cant sleep again! I couldnt sleep last night eather!  *Wabble Wabble*,sadness
334,hahaha yeah i see that. but he can't twitter me back,happiness
335,"have to stay away from home, and since this part of india dnt hav gud wireless internet, im fucked",sadness
336,Wookei why did you never accept my psn friend request,sadness
338,because my dad has the tv to loud. Then i get creeped out cuz im from a dodgy neighbourhood and there was someone in my bush.,sadness
339,"cant talk very well, just remembering about something once said to me...  not a good thing fucking bully nasty pieces of work arrrrgrrrrrr",sadness
341,Watching Jay Leno's 2nd last Tonight show   I haven't gone a day without Leno in like four yearss.,happiness
342,just got home.. downtown was dead.. plus im kinda under the weather and i gotta get up for work tomorrow,sadness
343,"Yesterday a friend of mine was thrown off his horse as a lorry drove past us, ignoring us signaling for him to slow down",sadness
344,Ready to go into work now.  cannot be bothered.,sadness
345,"I hate working nights, cos I'm not really able to enjoy this gorgeous weather, as I will be asleep",sadness
346,i really should stop relying on my family when they say their going to get me lunch,sadness
347,"Changed my hairstyle,but it isn't good as it supposed to be N don't wealth that much money..  hate that hairdresser~~",sadness
351,is tired of summer already,sadness
352,feels really sick.,sadness
355,"Mom asking if I'm feeling better after dargah visit. Dad swears he sees +ve &quot;change&quot;.  I am amused.   But yeah, still depressed",sadness
356,Their songs make me want to cry..,sadness
358,My siblings left me alone.   Bored. (:|,sadness
359,"i have the biggest headache right now, i washed my hair wif mum's shampoo and now it's gross  i like my shampoo way better",happiness
360,In the bus... Almost an hour late because of my crappy alarm clock  should be in Leeuwarden at about 9:45,sadness
361,I wish my grandmother had taken me to the US with her,sadness
363,"bummed i didnt get to see manchester orchestra bc it was sold out, i spent all night buying tv shows on itunes  lame",sadness
364,"Well thats me for the day, watching Panthers tonight beat the Saints (fingers crossed) cause there are no QLD teams playing this round",sadness
366,"Heading home now, yay! Was going to buy a much needed bottle of wine to drink with dinner, but my wallet is MIA so no wine for me tonight",happiness
367,just got home. im so effin sad,sadness
371,Not excited of blowing out another candle today... [as when I was a kid!],sadness
372,sigh....it's always so sad when you watch the series finale....no more green wing left to watch,sadness
373,I tried to dye my hair and all i got was a blond chunk in the front middle part of my hair. Dang.,anger
375,The fam back on the Big Island said the vog has been so bad that they can't see the ocean. Sad!,sadness
376,"A sunny morning in the Big K, with lawns to mow and a 2 mile to run to attempt, urgh",sadness
377,&quot;locked up abroad&quot; makes bein half brown good risk mgmt when travelin 3rd world. i blend. i feel sorry for my hostage magnet white pepo,anger
379,Wants milk,sadness
381,aww my poor tank friend.    his guild is fucking him over after promising him main OT. he barely even gets to go now.  ;_;,sadness
383,god it pisses me off that i always enter comps &amp; never win.I am such a sore loser,sadness
384,Canï¿½t stop loosing.  Worst month results ever... Bubble two times in a row.,sadness
385,"Time for bed, oh how I wish someone was laying next to me",sadness
387,Today is going to be a normal day for I hope. We had a group of pilots from a large airline come in last night so it was too much drink,sadness
388,OMG sore shoulder,sadness
390,Can I get tonight's SYTYCD online anywhere...streamed like Hulu or paid like iTunes. I missed my favorite judge and now I can't sleep.,sadness
391,"I feel sick..like don't wanna get out of bed, be bothered, don't go 2 work, turn da light off, pull da shades n tv off type of sick",sadness
393,Why don't we close the library due to the great weather?  And the ac isn't working  #fb,sadness
394,Time to do house chores! Ugh!,sadness
395,"getting ready for school.. reading what's going on on set in Montepulciano, and practically crying cause i'm not there",sadness
397,missing Taylor like crazy  cant wait till he's back,sadness
398,Had a good day till he twisted his ankle on his two mile run,sadness
399,Can you believe it:Tomorrow Night will be Jay Leno's last episode of the Tonight Show  I encourage everyone to watch it and welcome Conan.,happiness
401,"Changed my hairstyle,but it isn't good as it supposed to be~~N I don't think it wealthed that much money..  hate that hairdresser~~;(",sadness
403,Um k.. this is NOT Close My Eyes.. this song always makes me cry bc my mom is gone but I &lt;3 it anyway..,sadness
405,Bought a new combo printer at costco today (officejet j4550) cause it was cheaper than ink 4 old one. #windows7 doesn't like the fax part,happiness
406,why do i have to wake up so early goddam?! 7.30 on my last day off  bummer,happiness
409,Just awoke in a completely freaked out frantic frenzy.  It's going to be a long night.,sadness
410,where's enthusiasm in meeeee,sadness
411,"drinking some really nice coffee, got to go to the dentist at 9am this morning",sadness
414,#DepecheMode concert next week cancelled  Alternative date not known yet. Dave Gahan had a tumor.,sadness
415,"its 2:08 am. I CAN'T SLEEP!!!!!  i thought it was b/c im hungry, so i whipped up a pb&amp;j with milk. hopefully it works!!!!",sadness
416,Only 1 tweet in the last 24 hours?  Nobody likes my tweetboard,sadness
417,i'm so bored i can barely even tweet. i have nothing to talk about.  #boredboots,sadness
418,"my head is killing me, i keep sneezing, and i think my boyfriend fell asleep. greaaat",sadness
419,roughnight,sadness
420,Tired. About to climb into bed and fall asleep. I hope this weekend will be fun... I only have a couple of weeks left,sadness
421,"Bad day, just got worse...",sadness
424,Goodmorning yall! I woke up to early,happiness
427,fell asleep waiting for my ride!,sadness
428,Today feels like friday. Too bad its not,sadness
429,now im gettin a complex my followers are shrinking   want to make 100 b4 Sunday,sadness
430,Has been underpaid  just when i really didn't need to be as well.,sadness
434,Disappointment really sucks!  I'm getting used to it.,sadness
436,"Season 1 of Lie To Me was serious. Damn, now here comes the wait.",sadness
437,i mean monday take the test monday!!!! please o please !,sadness
439,My birthday is now over.,sadness
440,at work and tired just want to go to bed,sadness
445,I am soo happy! But frustrated at the same time!  :]  :S. Ohh noo!!! Britney is recording her new video for Radar!!!  Sooo ExxCiiTeed!!!,happiness
446,"BOOYA!! Sup Tweeps!? Happy inFAMOUS day to you all, off to get it very soon. Can't wait to play, need to find some more time though",happiness
448,Ugh talk to me someone  I'm really bored.,sadness
449,Sleeping on the streets of nyc for a celebrity...nothing new. Wish i had a huge blanket though,sadness
450,have a splitting headache!,sadness
451,OMG. Period cramps are FTL. So much pain.,sadness
453,Using tiffys computer...it feels different from mine... the touch is different.,sadness
454,Bummed out I am missing a rock climbing trip next week,sadness
455,Stuck in some shitty traffic! This day is going to be crap,sadness
456,sick to my stomach.. and i have a headache.. i wish someone could come rub my temples.,sadness
457,Not a good start to the day left my money at home . So i'll hot a day me looking for free carparks,sadness
461,#3wordsaftersex it hurts now,sadness
462,Heavily medicated but can't sleep. Ugh...,sadness
463,"Grrrrr fuck. Just remembered that I'm doing the later shift today, so not at work for another hour! What a wasted lay in opportunity",sadness
464,Is dreading going to work  BUT....its friiiiiday!! whoop!!!,happiness
466,"what is love!? baby don't hurt me, don't hurt me, no more. I WANT TO WATCH 'NIGHT AT THE RUXBURY' RIGHT NOW!!!!",sadness
467,Its too early,sadness
468,My computer is being killed by a combo of mirrors edge and really poor win7 thermal management...75c gpu = one sad game,sadness
470,My tummy hurts  go away cramps! I hate chuu!!!!,sadness
471,I wanna go to DBSK oppa's Mirotic Concert in Thailand!!! I REALLY WANNA GO SO MUCHHHHH...    *burst into tears*,happiness
473,i lost my voice . what should i do ? it's very torture,sadness
474,it's pretty cold outside  today i got another exam...,sadness
478,Ugh our two week push to produce a six pack has produced nothing but pain!,sadness
479,ooh i feel so sleepy... its 10:24 a.m. and i dont wanna go to school 2day  but i have to...,sadness
482,Wrong button  ... My music biz building that is.,sadness
483,"having the flu, not the swinish-one, but the flu.",sadness
484,really annoyed that work appear to have blocked facebook now...,sadness
485,"its friday!  well, technically anyway...but its really thursday for me.  dang having to work saturday mornings",sadness
486,20 mins from BEJ to Semanggi. Traffic on Friday  *siggghh*,sadness
488,missin my bro..,sadness
492,not feeling too great today,sadness
494,i hate that feeling you get when you listen to a song and it completely reminds you of how things used to be &amp; you get emotional,sadness
495,you ever come across something that reminds you alot of the one person that completely broke your heart? cause i just did,sadness
496,Ria got a a G1 phone and im jealous,sadness
497,my party is wiped out they be all dead and stuff,sadness
499,good morning people !! in good old germany is it soooo cold,happiness
501,is lonely in need of company,sadness
503,hates continually getting sick whenever he has exams,sadness
505,stupid weather,sadness
506,Why cant a girl just like me for who i am and not whats in my walet?,sadness
507,"Good Morning, it's beautiful here today. Shame I'm going to spend most of the day being an unpaid taxi driver.",sadness
509,Why Telstra Why do you are biggest Teleco have to be so greedy  we need fast Internet and NO Download Caps!,sadness
511,wishes she would call him ...   *hc*,happiness
513,"And apparently I misplaced my iPod, the 30 gb",sadness
514,very disappointed in him    gonna have to sleep it off....,sadness
515,4am foodshopping cause I was sick all day and was in hospitals  being alone blows,sadness
517,is seriously heartbroken!!!,sadness
520,"My life what a beautiful morning, i can think if no better way to ruin it than by being at work",happiness
522,ouch  epic bruise between my toes and a lump just under my ankle  bad times,sadness
523,Epic ocd moment? I deleted my sims file that i spent hours building just because i set his favorite food wrong,sadness
524,Heading home. Could really have done without banging my head on the way into the bus,sadness
525,also i hit my chin on something when i fell down and it hurts  ugh... work is gonna suck,sadness
526,Doing uni work all weekend. Fun times,sadness
529,First time I'm going home early  sucks to b single no one to call,sadness
530,wish my nicky were home too,happiness
531,hmm..Osaka. Last show today.Very sad  . i can decode ur msg ;) haha cant wait till u get 2 Sydney ;D i missed out on tickets tho :o xx,happiness
533,"hmm. I'm disappointed. I made 2 servings, and I am only able to enjoy one because my stomach is now full  wishing I had company to help.",sadness
535,is very cold,sadness
539,I'm havin the stupid stomach pain again &amp; again... Today is my outing with SPH frenz &amp; my stomach nvr fails to dissappoint me. Haiz,sadness
540,if not impossible,sadness
541,boo for all the season finales..,sadness
543,huhuhu still working to get new clients in motion graphics,happiness
545,likes being friends but it hurts when u love your friend but the feelings arent the same. trying to sleep. has to really try to give up.,sadness
547,"Why does #googledocs do folders, instead of labels like #gmail? I kind of like labels",happiness
548,going down the post office to try and sort this whole ebay hacker thing,sadness
550,Bacon Fail at Gulb... lack of chef,sadness
552,is suprisingly okay. or possibly still drunk. goodbyes suck though,sadness
553,i wanna go out,sadness
554,"it's overwhelming how i'm finally catching up with my cousin/bff since i was three who i haven't seen in years. ah, memories. miss her",sadness
557,So many farewell parties! sad to see people leaving ..,sadness
558,I'm sleepy but is feeling under the weather! ugh! These damn tonsils. I need some company or somebody to talk too!,sadness
560,im the only ho that didnt go to tigerheat tonite,sadness
562,Hmmm thinking about taking back that I feel better this morning - I think I spoke to early,happiness
566,is feeling so bored... i miss school time,sadness
567,My stomach is all EXPLODE from the wendys  why is everything that tastes good bad for you?,anger
569,Cant sleeeeep &amp; i miss my long hairrr,sadness
570,mom is ok so far. just missing jaron,sadness
571,has had AWFUL hiccups today and now can't fall asleep because of them,sadness
573,"Use twitter, quit life",sadness
574,Listing to old jb music.... Going bck to 2006&amp;2007 &lt;33 i miss tht,sadness
575,"Just woke up &amp; can't go back to sleep. Had a txt from the bff sayin if you're up call me, sounds important but that was 4 hours ago",sadness
577,Trending Topics on Twitter used to useful. Now they're just like middle schoolers passing around notes cause class is boring.,sadness
579,Now the mosquito truck is waking me up,sadness
580,Another boring meeting to attend,sadness
584,"I'm torn, do I get an extended warranty for my iPhone when mine runs out, or jailbreak? I've already got problems with battery &amp; earpiece",sadness
585,friday night is my fav night of the week but now I have to go to stupid dog training classes,sadness
588,"Damn, 4got to turn off my alarm so I woke up at 5:45am",sadness
589,I miss Cary and want to drink some chocolate milk with him.,sadness
591,im ill hate it. seeing the doc at 5 too 10.,sadness
593,I can't work twitter on my phone!  we're just in bed thinking of funny stuff from last night! (L) GOOD TIMES!,happiness
594,Approaching the weekend quite quickly and so much more work left to do.,sadness
595,NOW IM SAD BUT IM NOT GIVING IN FIRST..I DIDNT DO NOTHING!!!!    :**-(,sadness
596,Disturbed. They sold the baby tiger I met in Thailand as an exotic pet. Greedy bastards,sadness
597,"and I'm so naughty I cant even take my dog, I have to sit &amp; watch how proper dog owners do it, will Brunos life ever be the same?",sadness
598,"Also, anyone else hayfevery today??? I've only been awake for 40mins and sufferin already",sadness
599,I'm glad that all got cleared up.  I lah you!  Idk why Linda hates me though..,sadness
603,im cold  i still cant find my hoodie,sadness
604,"Um, why arent episodes 1-14 of Lost season 5 on abc?!  Good thing Im going to Vegas in the am to keep me distracted from this tragedy.",sadness
605,Going back to Manila this evening. All my trips to Cebu are so bitin.,happiness
607,Mom has left... again,sadness
608,chapter 27... probably on monday. i still need more comments.,sadness
610,"... need retail therapy, bad. AHHH.....gimme money geebus",sadness
611,cant sleep  so tired! goodnight... maybe :/,sadness
613,"Back to LA from Las Vagas, Nice Trip , Nice Food ....but lose $100 with Slot Machine...",sadness
614,"Morning twitties! Heading to college, just back from the docs, god I'm hungry  streching my ears again today! 10mm ;) payday I love you!",happiness
615,wowowee willie of fortune is just making me depressed  damn love.,sadness
616,Watching Jimmy F.  delete all his social network profiles  No more Jimmy cyber time.,sadness
617,"Desperately wishing I could sleep - But I am too frazzled about my Gma, and can't sleep.. :'( It's really bad tonight  xx",sadness
618,No allowed a calculator for this exam despite it containing laths that is impossible to compute in my head.,sadness
619,3 hours of sleep and a mild hangover = carelessness and the loss of a brand new ipod pouch,sadness
620,"Wee laddie's been SO upset for about 2 hours. Tried soothing him in bed, nursing, etc. Nope. Up at 3:30am for real food. Blue Clues now.",sadness
621,I have been playing skate for two hours. Now i need to get out and actually skate. But it's too late,happiness
624,Ugh id better get up for work,sadness
625,had my lip pierced for about 30 minutes.  and then it died.,sadness
626,why not everything workout as you planned.,sadness
627,aww only 15minutes left of family guy,sadness
628,I wanted to see the story on ACORN tonight on Glen Beck but I missed it,sadness
629,Tv arrived but can't play cos have to go to stupid work,sadness
631,going to bed...with NO sexy time UGHHH!,sadness
632,Sometimes I have a pillow and sometimes I don't,sadness
634,I miss Feb 23rd 2008  best night of my whole entire fucking life. I'd rather re-live that night then win $1million.,sadness
636,#freakyfriday Slipped in the shower and fell. Lucky to escape with just a couple of concussions!,sadness
639,Y AM I STILL AWAKE!!!! SMH.... THIS SUCKS!!!,sadness
640,is having headache and colds...,sadness
641,This headache is killing me yet I need to cover some boring police event.,sadness
642,I'm sooo lost without my car  This is truly depressing. Pregnant people should NEVER be this stressed out!,sadness
644,"Heathrow Connect is ï¿½7.40,i thought it was a bargain (express is 15),but then it terminated at Hayes/Harlington and i had to take a bus",sadness
646,Marley and me is the saddest movie ever I never cry in movies but this movie mad me cry,sadness
650,i'm so mad that im going to be missing the maine tomorrow because it takes all effing day to fly to florida,sadness
652,Fixed my favourites. $180 and the heels fell off after 4 wears,sadness
655,I am not going to entertain any request for reducing shipping cost by using registered post instead of courier from now on....,sadness
657,dreading work tomorrow wish I had one more day off,sadness
659,very tired and anxious,sadness
660,I chilled in my room with my baby book missed my bro leavin  he really is cool had a stripper shirt on said I suppoort single moms! Funny,happiness
661,its my burfday and i'm all alone,sadness
663,Headache,sadness
665,Its beginning to get way too hard to please all of my friends at once,sadness
667,not in the mood,sadness
668,I'll miss the 39th floor view...,sadness
669,now i'm awake i can't get back to sleep,sadness
670,Now i feel really really bad...sorry,sadness
671,Sleep....take two....this better work!,happiness
